run_id,experiment_name,center,model_family,split,region,n_samples,n_unique_classes_true,macro_f1,balanced_accuracy,accuracy
20260306_160117_s1_2900_file_mean_arpls_snv,s1_2900_file_mean_arpls_snv,2900,None,all,cerebellum,28,3,0.17777777777777778,0.2222222222222222,0.17857142857142858
20260306_160256_s1_2900_point_airpls_msc,s1_2900_point_airpls_msc,2900,None,cv,cortex,432,3,0.41399182749650176,0.46296296296296297,0.46296296296296297
20260306_160256_s1_2900_point_airpls_msc,s1_2900_point_airpls_msc,2900,None,cv,striatum,288,3,0.3251074955151164,0.37847222222222227,0.3784722222222222
20260306_160256_s1_2900_point_airpls_msc,s1_2900_point_airpls_msc,2900,None,cv,cerebellum,224,3,0.22178166254599374,0.2520833333333333,0.20982142857142858
20260306_160256_s1_2900_point_airpls_msc,s1_2900_point_airpls_msc,2900,None,all,cortex,432,3,0.41399182749650176,0.46296296296296297,0.46296296296296297
20260306_160256_s1_2900_point_airpls_msc,s1_2900_point_airpls_msc,2900,None,all,striatum,288,3,0.3251074955151164,0.37847222222222227,0.3784722222222222
20260306_160256_s1_2900_point_airpls_msc,s1_2900_point_airpls_msc,2900,None,all,cerebellum,224,3,0.22178166254599374,0.2520833333333333,0.20982142857142858
20260306_160444_s1_2900_point_airpls_snv,s1_2900_point_airpls_snv,2900,None,cv,cortex,432,3,0.3801929526739875,0.4236111111111111,0.4236111111111111
20260306_160444_s1_2900_point_airpls_snv,s1_2900_point_airpls_snv,2900,None,cv,striatum,288,3,0.34053840709456124,0.3888888888888889,0.3888888888888889
20260306_160444_s1_2900_point_airpls_snv,s1_2900_point_airpls_snv,2900,None,cv,cerebellum,224,3,0.2049568365357839,0.23611111111111113,0.19642857142857142
20260306_160444_s1_2900_point_airpls_snv,s1_2900_point_airpls_snv,2900,None,all,cortex,432,3,0.3801929526739875,0.4236111111111111,0.4236111111111111
20260306_160444_s1_2900_point_airpls_snv,s1_2900_point_airpls_snv,2900,None,all,striatum,288,3,0.34053840709456124,0.3888888888888889,0.3888888888888889
20260306_160444_s1_2900_point_airpls_snv,s1_2900_point_airpls_snv,2900,None,all,cerebellum,224,3,0.2049568365357839,0.23611111111111113,0.19642857142857142
20260306_160629_s1_2900_point_arpls_msc,s1_2900_point_arpls_msc,2900,None,cv,cortex,432,3,0.38359703000341866,0.4490740740740741,0.44907407407407407
20260306_160629_s1_2900_point_arpls_msc,s1_2900_point_arpls_msc,2900,None,cv,striatum,288,3,0.29179430823515423,0.34375,0.34375
20260306_160629_s1_2900_point_arpls_msc,s1_2900_point_arpls_msc,2900,None,cv,cerebellum,224,3,0.21544141554152332,0.2451388888888889,0.20982142857142858
20260306_160629_s1_2900_point_arpls_msc,s1_2900_point_arpls_msc,2900,None,all,cortex,432,3,0.38359703000341866,0.4490740740740741,0.44907407407407407
20260306_160629_s1_2900_point_arpls_msc,s1_2900_point_arpls_msc,2900,None,all,striatum,288,3,0.29179430823515423,0.34375,0.34375
20260306_160629_s1_2900_point_arpls_msc,s1_2900_point_arpls_msc,2900,None,all,cerebellum,224,3,0.21544141554152332,0.2451388888888889,0.20982142857142858
20260306_160806_s1_2900_point_arpls_snv,s1_2900_point_arpls_snv,2900,None,cv,cortex,432,3,0.3772561179213299,0.4398148148148148,0.4398148148148148
20260306_160806_s1_2900_point_arpls_snv,s1_2900_point_arpls_snv,2900,None,cv,striatum,288,3,0.251591942820013,0.2986111111111111,0.2986111111111111
20260306_160806_s1_2900_point_arpls_snv,s1_2900_point_arpls_snv,2900,None,cv,cerebellum,224,3,0.16823311488237883,0.1951388888888889,0.15625
20260306_160806_s1_2900_point_arpls_snv,s1_2900_point_arpls_snv,2900,None,all,cortex,432,3,0.3772561179213299,0.4398148148148148,0.4398148148148148
20260306_160806_s1_2900_point_arpls_snv,s1_2900_point_arpls_snv,2900,None,all,striatum,288,3,0.251591942820013,0.2986111111111111,0.2986111111111111
20260306_160806_s1_2900_point_arpls_snv,s1_2900_point_arpls_snv,2900,None,all,cerebellum,224,3,0.16823311488237883,0.1951388888888889,0.15625
20260306_163632_w2_1500_file_mean_arpls_msc_logreg,w2_1500_file_mean_arpls_msc_logreg,1500,logreg,cv,cortex,54,3,0.38484320557491286,0.38888888888888884,0.3888888888888889
20260306_163632_w2_1500_file_mean_arpls_msc_logreg,w2_1500_file_mean_arpls_msc_logreg,1500,logreg,cv,striatum,36,3,0.32827586206896553,0.3611111111111111,0.3611111111111111
20260306_163632_w2_1500_file_mean_arpls_msc_logreg,w2_1500_file_mean_arpls_msc_logreg,1500,logreg,cv,cerebellum,28,3,0.08366013071895424,0.061111111111111116,0.07142857142857142
20260306_163632_w2_1500_file_mean_arpls_msc_logreg,w2_1500_file_mean_arpls_msc_logreg,1500,logreg,all,cortex,54,3,0.38484320557491286,0.38888888888888884,0.3888888888888889
20260306_163632_w2_1500_file_mean_arpls_msc_logreg,w2_1500_file_mean_arpls_msc_logreg,1500,logreg,all,striatum,36,3,0.32827586206896553,0.3611111111111111,0.3611111111111111
20260306_163632_w2_1500_file_mean_arpls_msc_logreg,w2_1500_file_mean_arpls_msc_logreg,1500,logreg,all,cerebellum,28,3,0.08366013071895424,0.061111111111111116,0.07142857142857142
20260306_164747_w2_1500_file_mean_arpls_emsc_catboost,w2_1500_file_mean_arpls_emsc_catboost,1500,catboost,cv,cortex,54,3,0.5576023391812865,0.5740740740740741,0.5740740740740741
20260306_164747_w2_1500_file_mean_arpls_emsc_catboost,w2_1500_file_mean_arpls_emsc_catboost,1500,catboost,cv,striatum,36,3,0.457172342621259,0.47222222222222215,0.4722222222222222
20260306_164747_w2_1500_file_mean_arpls_emsc_catboost,w2_1500_file_mean_arpls_emsc_catboost,1500,catboost,cv,cerebellum,28,3,0.1600877192982456,0.11666666666666665,0.14285714285714285
20260306_164747_w2_1500_file_mean_arpls_emsc_catboost,w2_1500_file_mean_arpls_emsc_catboost,1500,catboost,all,cortex,54,3,0.5576023391812865,0.5740740740740741,0.5740740740740741
20260306_164747_w2_1500_file_mean_arpls_emsc_catboost,w2_1500_file_mean_arpls_emsc_catboost,1500,catboost,all,striatum,36,3,0.457172342621259,0.47222222222222215,0.4722222222222222
20260306_164747_w2_1500_file_mean_arpls_emsc_catboost,w2_1500_file_mean_arpls_emsc_catboost,1500,catboost,all,cerebellum,28,3,0.1600877192982456,0.11666666666666665,0.14285714285714285
20260306_164845_w2_1500_file_mean_arpls_emsc_logreg,w2_1500_file_mean_arpls_emsc_logreg,1500,logreg,cv,cortex,54,3,0.38484320557491286,0.38888888888888884,0.3888888888888889
20260306_164845_w2_1500_file_mean_arpls_emsc_logreg,w2_1500_file_mean_arpls_emsc_logreg,1500,logreg,cv,striatum,36,3,0.32827586206896553,0.3611111111111111,0.3611111111111111
20260306_164845_w2_1500_file_mean_arpls_emsc_logreg,w2_1500_file_mean_arpls_emsc_logreg,1500,logreg,cv,cerebellum,28,3,0.08366013071895424,0.061111111111111116,0.07142857142857142
20260306_164845_w2_1500_file_mean_arpls_emsc_logreg,w2_1500_file_mean_arpls_emsc_logreg,1500,logreg,all,cortex,54,3,0.38484320557491286,0.38888888888888884,0.3888888888888889
20260306_164845_w2_1500_file_mean_arpls_emsc_logreg,w2_1500_file_mean_arpls_emsc_logreg,1500,logreg,all,striatum,36,3,0.32827586206896553,0.3611111111111111,0.3611111111111111
20260306_164845_w2_1500_file_mean_arpls_emsc_logreg,w2_1500_file_mean_arpls_emsc_logreg,1500,logreg,all,cerebellum,28,3,0.08366013071895424,0.061111111111111116,0.07142857142857142
20260306_164938_w2_1500_file_mean_arpls_emsc_svm,w2_1500_file_mean_arpls_emsc_svm,1500,svm_rbf,cv,cortex,54,3,0.3989139515455305,0.40740740740740744,0.4074074074074074
20260306_164938_w2_1500_file_mean_arpls_emsc_svm,w2_1500_file_mean_arpls_emsc_svm,1500,svm_rbf,cv,striatum,36,3,0.27355332376853175,0.3888888888888889,0.3888888888888889
20260306_164938_w2_1500_file_mean_arpls_emsc_svm,w2_1500_file_mean_arpls_emsc_svm,1500,svm_rbf,cv,cerebellum,28,3,0.21052631578947367,0.16666666666666666,0.21428571428571427
20260306_164938_w2_1500_file_mean_arpls_emsc_svm,w2_1500_file_mean_arpls_emsc_svm,1500,svm_rbf,all,cortex,54,3,0.3989139515455305,0.40740740740740744,0.4074074074074074
20260306_164938_w2_1500_file_mean_arpls_emsc_svm,w2_1500_file_mean_arpls_emsc_svm,1500,svm_rbf,all,striatum,36,3,0.27355332376853175,0.3888888888888889,0.3888888888888889
20260306_164938_w2_1500_file_mean_arpls_emsc_svm,w2_1500_file_mean_arpls_emsc_svm,1500,svm_rbf,all,cerebellum,28,3,0.21052631578947367,0.16666666666666666,0.21428571428571427
20260306_165135_w2_1500_file_mean_arpls_msc_catboost,w2_1500_file_mean_arpls_msc_catboost,1500,catboost,cv,cortex,54,3,0.5842284592284592,0.5925925925925926,0.5925925925925926
20260306_165135_w2_1500_file_mean_arpls_msc_catboost,w2_1500_file_mean_arpls_msc_catboost,1500,catboost,cv,striatum,36,3,0.3797953964194374,0.4166666666666667,0.4166666666666667
20260306_165135_w2_1500_file_mean_arpls_msc_catboost,w2_1500_file_mean_arpls_msc_catboost,1500,catboost,cv,cerebellum,28,3,0.1851851851851852,0.1388888888888889,0.17857142857142858
20260306_165135_w2_1500_file_mean_arpls_msc_catboost,w2_1500_file_mean_arpls_msc_catboost,1500,catboost,all,cortex,54,3,0.5842284592284592,0.5925925925925926,0.5925925925925926
