center,region,band_id,wn_start,wn_end,wn_peak,score_mean_f,score_max_f,score_sum_f,n_features_in_band,n_samples,strategy,weighted_score,center_weight
1500,overall,23,1850.436523,1889.833984,1880.012695,4.180947402940352,8.435993975301868,171.41884352055442,41,118,h1_router_fb_cortex_striatum,0.6115521370741567,0.146271186440678
1500,overall,11,1370.739258,1409.539063,1395.560547,4.052917474535711,10.797537979111889,149.95794655782132,37,118,h1_router_fb_cortex_striatum,0.5928250475464948,0.146271186440678
1500,overall,19,1690.864258,1729.438477,1710.186523,3.9906659689549566,8.361453712966457,155.6359727892433,39,118,h1_router_fb_cortex_striatum,0.5837194459674794,0.146271186440678
1500,overall,1,971.169922,1009.459961,976.988281,3.598805296094003,7.0869893048348125,122.3593800671961,34,118,h1_router_fb_cortex_striatum,0.5264015204286653,0.146271186440678
1500,overall,26,1970.641602,1997.616211,1971.607422,3.2380500990872982,8.220665198801969,93.90345287353165,29,118,h1_router_fb_cortex_striatum,0.47363342974785405,0.146271186440678
1500,overall,15,1530.576172,1569.277344,1537.918945,3.1131484701768475,11.342291351378375,118.29964186672021,38,118,h1_router_fb_cortex_striatum,0.4553639202987491,0.146271186440678
1500,overall,3,1050.935547,1089.823242,1060.110352,3.0945214105125194,10.108492133810358,108.30824936793817,35,118,h1_router_fb_cortex_striatum,0.4526393181817466,0.146271186440678
1500,overall,0,930.273438,970.004883,941.988281,3.0253142610090706,8.163714026085497,105.88599913531748,35,118,h1_router_fb_cortex_striatum,0.44251630631369976,0.146271186440678
1500,overall,22,1810.742188,1849.448242,1822.681641,2.8913366996671925,11.433538400948,115.6534679866877,40,118,h1_router_fb_cortex_striatum,0.42291924945979453,0.146271186440678
1500,overall,25,1930.882813,1969.675781,1956.131836,2.6990951593154144,9.167124546145986,110.662901531932,41,118,h1_router_fb_cortex_striatum,0.39479985126935646,0.146271186440678
1500,overall,21,1770.74707,1809.746094,1800.771484,2.667215990317829,7.6991428783234115,106.68863961271316,40,118,h1_router_fb_cortex_striatum,0.3901368473973368,0.146271186440678
1500,overall,5,1130.699219,1170.147461,1130.699219,2.6542515164680123,14.278568737586069,95.55305459284844,36,118,h1_router_fb_cortex_striatum,0.3882405184257449,0.146271186440678
1500,overall,17,1610.803711,1649.957031,1620.102539,2.3639010646237333,7.496397780356415,92.19214152032559,39,118,h1_router_fb_cortex_striatum,0.34577061335089526,0.146271186440678
1500,overall,16,1570.319336,1609.769531,1604.594727,2.2932795892944218,5.178324626308082,89.43790398248245,39,118,h1_router_fb_cortex_striatum,0.3354407263662858,0.146271186440678
1500,overall,20,1730.450195,1769.743164,1735.503906,2.0719371767943238,6.847609675089137,82.87748707177295,40,118,h1_router_fb_cortex_striatum,0.3030647090802545,0.146271186440678
1500,overall,7,1210.425781,1249.296875,1228.230469,2.0512738117523543,4.417344243557086,73.84585722308476,36,118,h1_router_fb_cortex_striatum,0.3000422541597088,0.146271186440678
1500,overall,10,1330.564453,1369.657227,1353.40332,1.9819462585783227,6.1808639306087425,73.33201156739794,37,118,h1_router_fb_cortex_striatum,0.28990163070391406,0.146271186440678
1500,overall,24,1890.81543,1929.90918,1902.574219,1.342094726705724,5.5209045803978505,55.02588379493468,41,118,h1_router_fb_cortex_striatum,0.19630978799102372,0.146271186440678
1500,overall,6,1171.270508,1209.310547,1207.080078,1.2452832725396668,5.855233855082489,43.584914538888334,35,118,h1_router_fb_cortex_striatum,0.18214906172910722,0.146271186440678
2900,overall,11,2900.8125,2940.519531,2913.818359,10.849569954932266,14.605324846748845,542.4784977466132,50,118,new_primary_top3_top4_a007,10.090100058087007,0.9299999999999999
2900,overall,6,2700.847656,2739.902344,2723.813477,10.464040929258061,24.255439825973095,491.80992367512886,47,118,new_primary_top3_top4_a007,9.731558064209997,0.9299999999999999
2900,overall,16,3101.227539,3140.674805,3120.610352,8.955061980412065,14.042835574888725,465.66322298142734,52,118,new_primary_top3_top4_a007,8.32820764178322,0.9299999999999999
2900,overall,7,2740.74707,2780.279297,2763.501953,8.520315441959669,13.966569185784083,408.97514121406414,48,118,new_primary_top3_top4_a007,7.9238933610224915,0.9299999999999999
