center,region,wn,score_f,n_samples
1500,overall,1424.551758,0.5333508355143187,118
1500,overall,1425.623047,0.25601119859801313,118
1500,overall,1426.693359,0.48143523100335,118
1500,overall,1427.763672,0.21154614926705526,118
1500,overall,1428.833984,0.7018429268256265,118
1500,overall,1429.90332,1.5842378401386779,118
1500,overall,1430.973633,2.149221622808859,118
1500,overall,1432.042969,1.8719081246345484,118
1500,overall,1433.112305,1.9836774102458938,118
1500,overall,1434.180664,2.935345377710535,118
1500,overall,1435.25,5.076996051704982,118
1500,overall,1436.318359,8.783879948856663,118
1500,overall,1437.386719,13.548666819649048,118
1500,overall,1438.455078,18.34212180487384,118
1500,overall,1439.523438,22.095582821424017,118
1500,overall,1440.59082,23.676286354517558,118
1500,overall,1441.658203,23.402418469023765,118
1500,overall,1442.725586,21.885473260150544,118
1500,overall,1443.792969,20.939419623194176,118
1500,overall,1444.859375,21.362076394495706,118
1500,overall,1445.925781,22.52198799468519,118
1500,overall,1446.992188,22.63148179036517,118
1500,overall,1448.058594,20.430845003517533,118
1500,overall,1449.125,19.620663420267626,118
1500,overall,1450.19043,19.74992778852084,118
1500,overall,1451.255859,17.865785788635016,118
1500,overall,1452.321289,17.256141498009384,118
1500,overall,1453.386719,14.887600772914974,118
1500,overall,1454.452148,12.19980807385101,118
1500,overall,1455.516602,10.436536856217966,118
1500,overall,1456.581055,11.686271748412379,118
1500,overall,1457.645508,13.840098636644603,118
1500,overall,1458.709961,17.08637592153933,118
1500,overall,1459.773438,19.16973303877526,118
1500,overall,1460.836914,21.748795886158806,118
1500,overall,1461.900391,23.0985469879351,118
1500,overall,1462.963867,24.829601718782232,118
1500,overall,1464.027344,24.042945784728595,118
1500,overall,1465.089844,24.55327086233391,118
1500,overall,1466.152344,25.726344601402825,118
1500,overall,1467.214844,26.613552602520535,118
1500,overall,1468.277344,27.043329675598716,118
1500,overall,1469.338867,25.052301595473445,118
1500,overall,1470.401367,26.886786331985853,118
1500,overall,1471.462891,28.076697244467628,118
1500,overall,1472.523438,30.42836399482217,118
1500,overall,1473.584961,28.286998152767904,118
1500,overall,1474.645508,26.176445517841202,118
1500,overall,1475.707031,21.89937695995064,118
1500,overall,1476.767578,21.430276431554287,118
1500,overall,1477.827148,29.1297083100427,118
1500,overall,1478.887695,31.433806523612414,118
1500,overall,1479.947266,11.663416603105627,118
1500,overall,1481.006836,5.446825167238052,118
1500,overall,1482.066406,5.1186497526789765,118
1500,overall,1483.125977,4.328255309823402,118
1500,overall,1484.18457,4.403733220398394,118
1500,overall,1485.244141,5.089321646705603,118
1500,overall,1486.302734,7.637379349798777,118
1500,overall,1487.360352,10.618048487594551,118
1500,overall,1488.418945,19.561394398005834,118
1500,overall,1489.476563,23.342708048647363,118
1500,overall,1490.535156,23.455965876769152,118
1500,overall,1491.592773,21.74704668312583,118
1500,overall,1492.649414,9.368187675905231,118
1500,overall,1493.707031,7.982168861103083,118
1500,overall,1494.763672,15.876515566079378,118
1500,overall,1495.820313,8.774732976096441,118
1500,overall,1496.876953,13.692500172291322,118
1500,overall,1497.933594,10.118266771084583,118
1500,overall,1498.989258,19.366067668282195,118
1500,overall,1500.044922,6.937120686545385,118
1500,overall,1501.100586,4.630080758876831,118
1500,overall,1502.15625,4.026456358434335,118
1500,overall,1503.211914,4.708854369807619,118
1500,overall,1504.266602,3.6043790656352823,118
1500,overall,1505.321289,3.113132082186134,118
1500,overall,1506.375977,5.138341927905531,118
1500,overall,1507.430664,5.4070283838175435,118
1500,overall,1508.485352,5.479838725986353,118
1500,overall,1509.539063,4.86592811924323,118
1500,overall,1510.592773,5.132398847799613,118
1500,overall,1511.646484,4.446318569047541,118
1500,overall,1512.700195,4.012528052814347,118
1500,overall,1513.75293,3.1957355648349544,118
1500,overall,1514.805664,0.25571475433249363,118
1500,overall,1515.858398,0.14412399902914136,118
1500,overall,1516.911133,1.030803511448108,118
1500,overall,1517.963867,4.7569502154506464,118
1500,overall,1519.015625,7.752446415521607,118
1500,overall,1520.068359,7.49592120547929,118
1500,overall,1521.120117,8.687708418256522,118
1500,overall,1522.170898,5.63528843023022,118
1500,overall,1523.222656,7.322198905797543,118
1500,overall,1524.273438,4.127243083676601,118
1500,overall,1525.324219,2.0378155738530657,118
1500,overall,1526.375,2.9165670893344386,118
1500,overall,1527.425781,2.9968200831986493,118
1500,overall,1528.475586,2.263036175498213,118
1500,overall,1529.526367,3.237144718845468,118
1500,overall,1530.576172,5.457119725337874,118
1500,overall,1531.625977,3.6960095334447773,118
1500,overall,1532.674805,2.8330034739824814,118
1500,overall,1533.724609,2.9671127224011755,118
1500,overall,1534.773438,2.760183761965929,118
1500,overall,1535.822266,3.6271901193341245,118
1500,overall,1536.871094,4.200187252500072,118
1500,overall,1537.918945,11.342291351378375,118
1500,overall,1538.967773,0.11010121126515778,118
1500,overall,1540.015625,0.1389991174851166,118
1500,overall,1541.063477,0.04735489296365704,118
1500,overall,1542.111328,1.2880757743907583,118
1500,overall,1543.158203,2.7574014789796397,118
1500,overall,1544.206055,3.585510711710472,118
1500,overall,1545.25293,3.8715496474077393,118
1500,overall,1546.299805,3.433751950317692,118
1500,overall,1547.345703,2.553510885476422,118
1500,overall,1548.392578,2.8984952619698103,118
1500,overall,1549.438477,3.9141461331260636,118
1500,overall,1550.484375,4.114303785757792,118
1500,overall,1551.530273,4.949583422740499,118
1500,overall,1552.576172,5.564888187445148,118
1500,overall,1553.621094,5.56726214387048,118
1500,overall,1554.666016,3.705473633562597,118
1500,overall,1555.710938,3.501493916819139,118
1500,overall,1556.755859,4.829179366566953,118
1500,overall,1557.800781,2.992009152375118,118
1500,overall,1558.844727,3.2704433920232385,118
1500,overall,1559.889648,2.68939214243158,118
1500,overall,1560.933594,6.222848087019092,118
1500,overall,1561.976563,0.5327458790094981,118
1500,overall,1563.020508,0.6462107706429362,118
1500,overall,1564.063477,0.8697426794966675,118
1500,overall,1565.106445,0.9437460000922372,118
1500,overall,1566.149414,1.119786318740378,118
1500,overall,1567.192383,1.744308241348377,118
1500,overall,1568.235352,1.7038033660040968,118
1500,overall,1569.277344,1.8504263753370298,118
1500,overall,1570.319336,2.004266689517062,118
1500,overall,1571.361328,1.763542941684551,118
1500,overall,1572.40332,1.995505698372792,118
1500,overall,1573.444336,3.6413635945214793,118
1500,overall,1574.485352,3.11601346851536,118
1500,overall,1575.526367,4.574203945749513,118
1500,overall,1576.567383,2.8427621431348062,118
1500,overall,1577.608398,2.388922089414989,118
1500,overall,1578.648438,2.1954899952530647,118
1500,overall,1579.689453,1.9654460042208983,118
1500,overall,1580.729492,2.282440296374008,118
1500,overall,1581.768555,2.066972251116664,118
1500,overall,1582.808594,0.6666327811527855,118
1500,overall,1583.848633,1.7313639574192587,118
1500,overall,1584.887695,2.435951001440298,118
1500,overall,1585.926758,2.8355585128127014,118
1500,overall,1586.96582,2.5947819006455295,118
1500,overall,1588.003906,2.122240993087441,118
1500,overall,1589.041992,2.3096474853054394,118
1500,overall,1590.081055,2.038301378618417,118
1500,overall,1591.119141,1.1833085274913222,118
1500,overall,1592.15625,0.9700653925765357,118
1500,overall,1593.194336,4.261124695967591,118
1500,overall,1594.231445,1.9965960842986417,118
1500,overall,1595.268555,2.3801500179628032,118
1500,overall,1596.305664,4.897385817602225,118
1500,overall,1597.342773,3.595258591079518,118
1500,overall,1598.379883,0.6420716978096737,118
1500,overall,1599.416016,0.7441611532108836,118
1500,overall,1600.452148,0.9275806469432428,118
1500,overall,1601.488281,1.262503086974729,118
1500,overall,1602.524414,1.6438292732939832,118
1500,overall,1603.55957,2.8143554385750584,118
1500,overall,1604.594727,5.178324626308082,118
1500,overall,1605.630859,2.793205702839609,118
1500,overall,1606.665039,2.523429783486888,118
1500,overall,1607.700195,1.5787909956058803,118
1500,overall,1608.735352,0.6124729305973299,118
1500,overall,1609.769531,1.8618823915013862,118
1500,overall,1610.803711,2.474188583422887,118
