center,region,wn,score_f,n_samples
1500,cerebellum,1349.060547,1.6093520010491082,28
1500,cerebellum,1350.146484,0.7218896522367727,28
1500,cerebellum,1351.232422,0.2612129846804461,28
1500,cerebellum,1352.318359,0.28927092964297924,28
1500,cerebellum,1353.40332,3.4406696137083523,28
1500,cerebellum,1354.488281,5.513733124197277,28
1500,cerebellum,1355.573242,6.243161771015323,28
1500,cerebellum,1356.658203,5.791324760578507,28
1500,cerebellum,1357.742188,6.392438934385383,28
1500,cerebellum,1358.827148,8.381256846361989,28
1500,cerebellum,1359.911133,9.120017051824943,28
1500,cerebellum,1360.995117,11.307143321375815,28
1500,cerebellum,1362.078125,12.8633883379061,28
1500,cerebellum,1363.161133,14.081099531346263,28
1500,cerebellum,1364.245117,18.46379590002832,28
1500,cerebellum,1365.328125,22.6629396328623,28
1500,cerebellum,1366.410156,23.80621791169319,28
1500,cerebellum,1367.493164,14.969693412052399,28
1500,cerebellum,1368.575195,17.055231504640037,28
1500,cerebellum,1369.657227,11.956612646030838,28
1500,cerebellum,1370.739258,10.080258679796023,28
1500,cerebellum,1371.820313,6.1160772440140345,28
1500,cerebellum,1372.902344,4.295786358257962,28
1500,cerebellum,1373.983398,6.652777996037461,28
1500,cerebellum,1375.064453,6.756949712177158,28
1500,cerebellum,1376.144531,6.758449140903604,28
1500,cerebellum,1377.225586,6.046469861801303,28
1500,cerebellum,1378.305664,4.46405963126083,28
1500,cerebellum,1379.385742,6.496638965099998,28
1500,cerebellum,1380.46582,5.382189826184189,28
1500,cerebellum,1381.544922,4.785199487907377,28
1500,cerebellum,1382.625,3.4733958373585576,28
1500,cerebellum,1383.704102,3.007630106379789,28
1500,cerebellum,1384.783203,3.425979014574267,28
1500,cerebellum,1385.861328,2.7185659748075404,28
1500,cerebellum,1386.94043,2.287979046632343,28
1500,cerebellum,1388.018555,2.2052953154204946,28
1500,cerebellum,1389.09668,2.0605716582149514,28
1500,cerebellum,1390.174805,0.5212845560566529,28
1500,cerebellum,1391.251953,1.7111233554462995,28
1500,cerebellum,1392.329102,2.412660616570125,28
1500,cerebellum,1393.407227,0.8411541807885987,28
1500,cerebellum,1394.483398,1.0281115078115535,28
1500,cerebellum,1395.560547,0.9194691757573521,28
1500,cerebellum,1396.636719,0.5838882302787423,28
1500,cerebellum,1397.713867,0.4831236428896203,28
1500,cerebellum,1398.790039,0.4669018068833086,28
1500,cerebellum,1399.865234,1.9803477035896242,28
1500,cerebellum,1400.941406,9.070626774566323,28
1500,cerebellum,1402.016602,5.841465621381364,28
1500,cerebellum,1403.091797,3.046476563524021,28
1500,cerebellum,1404.166992,1.449086126108812,28
1500,cerebellum,1405.242188,0.8204570129483553,28
1500,cerebellum,1406.316406,0.3113740090293106,28
1500,cerebellum,1407.390625,1.4099391982828025,28
1500,cerebellum,1408.464844,2.204038532810221,28
